Name,Author,User Rating,Reviews,Price,Year,Genre,Rank
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,2010,Non Fiction,30
Mockingjay (The Hunger Games),Suzanne Collins,4.5,26741,8,2010,Fiction,31
"Publication Manual of the American Psychological Association, 6th Edition",American Psychological Association,4.5,8580,46,2010,Non Fiction,32
Good to Great: Why Some Companies Make the Leap and Others Don't,Jim Collins,4.5,3457,14,2010,Non Fiction,33
Life,Keith Richards,4.5,2752,18,2010,Non Fiction,34
Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,4.5,2525,16,2010,Non Fiction,35
"Broke: The Plan to Restore Our Trust, Truth and Treasure",Glenn Beck,4.5,471,8,2010,Non Fiction,36
George Washington's Sacred Fire,Peter A. Lillback,4.5,408,20,2010,Non Fiction,37
The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,4.4,10559,2,2010,Fiction,38
Food Rules: An Eater's Manual,Michael Pollan,4.4,1555,9,2010,Non Fiction,39
"Game Change: Obama and the Clintons, McCain and Palin, and the Race of a Lifetime",John Heilemann,4.4,1215,9,2010,Non Fiction,40
The Official SAT Study Guide,The College Board,4.4,1201,40,2010,Non Fiction,41
Teach Like a Champion: 49 Techniques that Put Students on the Path to College,Doug Lemov,4.4,637,20,2010,Non Fiction,42
The Daily Show with Jon Stewart Presents Earth (The Book): A Visitor's Guide to the Human Race,Jon Stewart,4.4,440,11,2010,Non Fiction,43
The Confession: A Novel,John Grisham,4.3,3523,13,2010,Fiction,44
Three Cups of Tea: One Man's Mission to Promote Peace - One School at a Time,Greg Mortenson,4.3,3319,11,2010,Non Fiction,45
"Dead in the Family (Sookie Stackhouse/True Blood, Book 10)",Charlaine Harris,4.3,1924,8,2010,Fiction,46
Women Food and God: An Unexpected Path to Almost Everything,Geneen Roth,4.2,1302,11,2010,Non Fiction,47
"Autobiography of Mark Twain, Vol. 1",Mark Twain,4.2,491,14,2010,Non Fiction,48
Little Bee: A Novel,Chris Cleave,4.1,1467,10,2010,Fiction,49
StrengthsFinder 2.0,Gallup,4,5069,17,2010,Non Fiction,50
Jesus Calling: Enjoying Peace in His Presence (with Scripture References),Sarah Young,4.9,19576,8,2011,Non Fiction,1
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,4.8,29673,16,2011,Non Fiction,2
The Hunger Games Trilogy Boxed Set (1),Suzanne Collins,4.8,16949,30,2011,Fiction,3
The Help,Kathryn Stockett,4.8,13871,8,2011,Fiction,4
The Help,Kathryn Stockett,4.8,13871,7,2011,Fiction,5
Go the F**k to Sleep,Adam Mansbach,4.8,9568,9,2011,Fiction,6
"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,4.8,4505,0,2011,Fiction,7
"The Son of Neptune (Heroes of Olympus, Book 2)",Rick Riordan,4.8,4290,10,2011,Fiction,8
The Hunger Games (Book 1),Suzanne Collins,4.7,32122,8,2011,Fiction,9
Catching Fire (The Hunger Games),Suzanne Collins,4.7,22614,11,2011,Fiction,10
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,4.7,15779,10,2011,Non Fiction,11
The Art of Racing in the Rain: A Novel,Garth Stein,4.7,11813,10,2011,Fiction,12
Killing Lincoln: The Shocking Assassination that Changed America Forever (Bill O'Reilly's Killing Series),Bill O'Reilly,4.7,9342,10,2011,Non Fiction,13
The Immortal Life of Henrietta Lacks,Rebecca Skloot,4.7,9289,9,2011,Non Fiction,14
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy),Stieg Larsson,4.7,7747,14,2011,Fiction,15
